"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","category"
"1342",4227,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allochrocebus","Allochrocebus preussi","EN"
"1343",4229,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus sclateri","EN"
"1344",4230,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allochrocebus","Allochrocebus solatus","NT"
"1345",4232,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus roloway","CR"
"1346",4233,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Chlorocebus","Chlorocebus aethiops","LC"
"1347",4235,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus erythrotis ssp. erythrotis","VU"
"1348",4236,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus mitis ssp. kandti","EN"
"1349",4237,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allochrocebus","Allochrocebus preussi ssp. insularis","EN"
"1350",4239,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus pogonias ssp. pogonias","VU"
"1351",4240,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Chlorocebus","Chlorocebus djamdjamensis","VU"
"1352",4244,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Allochrocebus","Allochrocebus preussi ssp. preussi","EN"
"1353",4245,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Cercopithecus","Cercopithecus diana","EN"
"1500",4685,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Chiropotes","Chiropotes albinasus","EN"
"1636",5142,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus angolensis","LC"
"1637",5143,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus guereza","LC"
"1638",5144,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus polykomos","VU"
"1639",5145,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus satanas","VU"
"1640",5146,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus vellerosus","CR"
"1641",5147,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus angolensis ssp. ruwenzorii","VU"
"1642",5148,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus angolensis ssp. palliatus","LC"
"1643",5149,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus angolensis ssp. prigoginei","EN"
"1644",5150,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Colobus","Colobus guereza ssp. gallarum","DD"
"2095",6302,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","DAUBENTONIIDAE","Daubentonia","Daubentonia madagascariensis","EN"
"2638",8073,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Erythrocebus","Erythrocebus patas","LC"
"2729",8265,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Euoticus","Euoticus elegantulus","LC"
"2730",8266,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Euoticus","Euoticus pallidus","LC"
"2864",8785,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Sciurocheirus","Sciurocheirus alleni","LC"
"2865",8786,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Galago","Galago gallarum","LC"
"2866",8787,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Galago","Galago matschiei","LC"
"2867",8788,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Galago","Galago moholi","LC"
"2868",8789,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Galago","Galago senegalensis","LC"
"2869",8790,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Paragalago","Paragalago zanzibaricus","LC"
