taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,category
12809,ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,MARGINELLIDAE,Marginella,Marginella liparozona,DD
12810,ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,MARGINELLIDAE,Marginella,Marginella melvilli,DD
12812,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,Marmosa andersoni,DD
12813,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Tlacuatzin,Tlacuatzin canescens,LC
12814,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,Marmosa lepida,LC
12815,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,Marmosa xerophila,VU
12816,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,Marmosa tyleriana,DD
12817,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,Marmosops cracens,DD
12819,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,Marmosops fuscatus,DD
12820,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,Marmosops handleyi,CR
12822,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,Marmosops incanus,LC
12823,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,Marmosops invictus,LC
12824,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,Marmosops parvidens,LC
12825,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota caudata,LC
12826,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota himalayana,LC
12827,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota menzbieri,VU
12828,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota vancouverensis,CR
12829,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota baibacina,LC
12830,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota bobak,LC
12831,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota camtschatica,LC
12832,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota sibirica,EN
12835,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,Marmota marmota,LC
12842,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PALUDOMIDAE,Martelia,Martelia tanganyicensis,DD
12847,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,Martes gwatkinsii,VU
12848,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,Martes martes,LC
12855,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CTENODACTYLIDAE,Massoutiera,Massoutiera mzabi,LC
12860,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Mastigodiaptomus,Mastigodiaptomus amatitlanensis,DD
12861,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Mastigodiaptomus,Mastigodiaptomus montezumae,DD
12862,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Mastigodiaptomus,Mastigodiaptomus purpureus,VU
12863,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mastomys,Mastomys pernanus,DD
12865,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mastomys,Mastomys coucha,LC
12866,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mastomys,Mastomys erythroleucus,LC
12868,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mastomys,Mastomys natalensis,LC
12869,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mastomys,Mastomys shortridgei,LC
12872,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICARIONIDAE,Mathewsoconcha,Mathewsoconcha belli,EN
12873,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CALOPTERYGIDAE,Matrona,Matrona japonica,EN
12876,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Mauremys,Mauremys annamensis,CR
12879,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha acuticosta,EX
12880,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha boraborensis,CR
12881,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha ceuthma,CR
12882,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha consimilis,EX
12883,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha consobrina,EX
12884,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha maupiensis,EX
12885,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha parvidens,EX
12886,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha punctiperforata,EX
12887,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha saintjohni,EX
12888,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha subtilis,EX
12889,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha unilamellata,EX
12890,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Mautodontha,Mautodontha zebrina,EX
12891,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys alticola,LC
12892,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys baeodon,DD
12893,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys bartelsii,LC
12894,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys dollmani,DD
12895,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys hellwaldii,LC
12896,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys hylomyoides,DD
12897,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys inas,LC
12898,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys inflatus,VU
12899,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys moi,LC
12900,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys musschenbroekii,LC
12901,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys ochraceiventer,DD
12902,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys pagensis,VU
12903,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys panglima,LC
12904,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys rajah,VU
12905,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys surifer,LC
12906,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys wattsi,EN
12907,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys whiteheadi,VU
12913,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Mazama,Mazama chunyi,VU
12914,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Mazama,Mazama rufina,VU
12920,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Mecistogaster,Mecistogaster asticta,VU
12921,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Platystigma,Platystigma pronoti,CR
12922,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CARABIDAE,Mecodema,Mecodema punctellum,EX
12923,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Meda,Meda fulgida,EN
12924,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Medionidus,Medionidus acutissimus,EN
12925,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Medionidus,Medionidus conradicus,NT
12926,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Medionidus,Medionidus mcglameriae,EX
12927,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Medionidus,Medionidus parvulus,EN
12928,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Medionidus,Medionidus penicillatus,CR
12929,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Medionidus,Medionidus simpsonianus,CR
12930,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Medionidus,Medionidus walkeri,CR
12937,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Megadendromus,Megadendromus nikolausi,VU
12938,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MEGADERMATIDAE,Megaderma,Megaderma lyra,LC
12939,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MEGADERMATIDAE,Megaderma,Megaderma spasma,LC
12940,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Megadontomys,Megadontomys cryophilus,EN
12941,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Megadontomys,Megadontomys nelsoni,EN
12942,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Megadontomys,Megadontomys thomasi,EN
12944,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Megadytes,Megadytes ducalis,EX
12945,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Megaerops,Megaerops kusnotoi,VU
12946,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Megaerops,Megaerops ecaudatus,LC
12947,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Megaerops,Megaerops niphanae,LC
12948,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Megaerops,Megaerops wetmorei,VU
12949,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,Megalagrion adytum,LC
12951,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,Megalagrion koelense ssp. peles,LC
12953,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,Megalagrion jugorum,CR
12954,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,Megalagrion leptodemas,CR
12958,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,Megalagrion oceanicum,CR
12959,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,Megalagrion pacificum,EN
12960,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,Megalagrion xanthomelas,EN
12961,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,Megalagrion oahuense,VU
